source,source_value,row_count,row_share,scheme,version,mapping_kind,codes,match_type,confidence,notes,source_field,query_text,branch_codes,branch_titles,suggested_kind,suggested_codes,candidate_codes,candidate_titles,candidate_scores,retrieval_score,suggestion_source,review_status
fsq,"['Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop']",175,0.006163273931112207,psic,rev5,,,exact,,,category,beverage serving activities cafes coffee shops,563,Beverage serving activities,,,563|5630|56309|56302|56303,"Beverage serving activities || Beverage serving activities || Beverage serving activities, n.e.c. || Operation of cafés or coffee shops || Activities of tea shops",0.700880|0.700880|0.669606|0.453103|0.299470,0.700880,semantic:fsq:beverage;retrieval:candidates,REVIEW_CANDIDATES
fsq,[Business and Professional Services > Automotive Service > Automotive Repair Shop],175,0.006163273931112207,psic,rev5,,,exact,,,category,repair and maintenance of motor vehicles,953,Repair and maintenance of motor vehicles and motorcycles,,,9531|95319|95311|953|9532,"Repair and maintenance of motor vehicles || Repair and maintenance of motor vehicles, n.e.c. || General repair and maintenance of motor vehicles || Repair and maintenance of motor vehicles and motorcycles || Repair and maintenance of motorcycles",1.000000|0.960909|0.852403|0.839764|0.648911,1.000000,semantic:fsq:auto_repair;retrieval:candidates,REVIEW_CANDIDATES
osm,amenity=cafe,174,0.006128055222934423,psic,rev5,,,exact,,,category,operation of cafes or coffee shops,563,Beverage serving activities,SUBTREE,56302,56302|56303|56301|56304|5630,"Operation of cafés or coffee shops || Activities of tea shops || Operation of nightclubs, bars and cocktail lounges || Activities of beverage stands, kiosks and counters || Beverage serving activities",0.784830|0.296045|0.107429|0.008501|0.004505,0.784830,semantic:osm:amenity=cafe;retrieval:strong_separated_hit,REVIEW_REQUIRED
overture,fast_food_restaurant,172,0.0060576178065788544,psic,rev5,,,exact,,,category,fast-food restaurant operations,561,Restaurants and mobile food service activities,SUBTREE,56102,56102|5610|561|56109|56103,"Fast-food restaurants operations, including quick service restaurant || Restaurants and mobile food service activities || Restaurants and mobile food service activities || Restaurants and mobile food service activities, n.e.c. || Activities of buffet restaurants",0.665390|0.220886|0.220886|0.211482|0.152129,0.665390,semantic:overture:fast_food_restaurant;retrieval:strong_separated_hit,REVIEW_REQUIRED
fsq,[Retail > Pharmacy],170,0.005987180390223287,psic,rev5,,,exact,,,category,retail sale pharmaceutical medical goods,4772,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles",SUBTREE,4772,4772|47721|47723|47724|47722,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles || Retail sale of prescription and over-the-counter drugs and pharmaceutical goods || Retail sale of medical, orthopedic and dental instruments and supplies || Retail sale of perfumery, cosmetic and toilet articles || Retail sale of non-medicinal wellness and herbal products and supplements",0.591138|0.353173|0.238311|0.134616|0.129968,0.591138,semantic:fsq:retail_pharmacy;retrieval:strong_separated_hit,REVIEW_REQUIRED
overture,religious_organization,167,0.005881524265689934,psic,rev5,,,exact,,,category,activities of religious organizations,9491,Activities of religious organizations,,,94910|9491,Activities of religious organizations || Activities of religious organizations,1.000000|1.000000,1.000000,semantic:overture:religious_organization;retrieval:candidates,REVIEW_CANDIDATES
overture,bakery,161,0.0056702120166232306,psic,rev5,,,exact,,,category,bakery,,,,,28|28243|33120|3312|2821,Manufacture of Machinery and Equipment n.e.c. || Manufacture of other construction machinery || Repair and maintenance of machinery || Repair and maintenance of machinery || Manufacture of agricultural and forestry machinery,0.023688|0.022924|0.021774|0.021774|0.020500,0.023688,semantic:raw_category;retrieval:candidates,REVIEW_CANDIDATES
fsq,[Community and Government > Government Building],154,0.005423681059378742,psic,rev5,,,exact,,,category,general public administration activities,84,Public Administration and Defense; Compulsory Social Security,,,8411|84119|84113|84112|84,"General public administration activities || General public administration activities, n.e.c. || Public administration, local government || Public administration, regional government || Public Administration and Defense; Compulsory Social Security",1.000000|0.970994|0.430826|0.425038|0.356934,1.000000,semantic:fsq:government;retrieval:candidates,REVIEW_CANDIDATES
fsq,[Dining and Drinking > Restaurant],151,0.00531802493484539,psic,rev5,,,exact,,,category,restaurants and mobile food service activities,561,Restaurants and mobile food service activities,,,561|5610|56109|56101|56103,"Restaurants and mobile food service activities || Restaurants and mobile food service activities || Restaurants and mobile food service activities, n.e.c. || Full-service restaurants activities || Activities of buffet restaurants",1.000000|1.000000|0.975297|0.355586|0.327040,1.000000,semantic:fsq:restaurant;retrieval:candidates,REVIEW_CANDIDATES
overture,convenience_store,148,0.005212368810312038,psic,rev5,,,exact,,,category,retail selling in convenience stores,4711,"Non-specialized retail sale with food, beverages or tobacco predominating",SUBTREE,47114,47114|47113|47111|47115|47112,Retail selling in convenience stores || Retail selling in sari-sari stores || Retail selling in groceries || Retail selling in pasalubong stores or centers || Retail selling in supermarkets and hypermarkets,1.000000|0.446025|0.441785|0.432407|0.315958,1.000000,semantic:overture:convenience_store;retrieval:strong_separated_hit,REVIEW_REQUIRED
overture,grocery_store,148,0.005212368810312038,psic,rev5,,,exact,,,category,retail selling in groceries,4711,"Non-specialized retail sale with food, beverages or tobacco predominating",SUBTREE,47111,47111|47114|47113|47112|47115,Retail selling in groceries || Retail selling in convenience stores || Retail selling in sari-sari stores || Retail selling in supermarkets and hypermarkets || Retail selling in pasalubong stores or centers,1.000000|0.441785|0.383281|0.376115|0.372700,1.000000,semantic:overture:grocery_store;retrieval:strong_separated_hit,REVIEW_REQUIRED
