source,source_value,row_count,row_share,scheme,version,mapping_kind,codes,match_type,confidence,notes,source_field,query_text,suggested_kind,suggested_codes,candidate_codes,candidate_titles,candidate_scores,retrieval_score,suggestion_source,review_status
overture,beauty_salon,181,0.006374586180178911,psic,rev5,,,exact,,,category,beauty salon,,,96220|9622|962|01172|47217,"Beauty care and other beauty treatment activities || Beauty care and other beauty treatment activities || Hairdressing, beauty treatment, day spa and similar activities || Growing of fruit bearing vegetables, such as talong, ampalaya and kalabasa || Retail sale of salt",0.603584|0.603584|0.317084|0.047624|0.033818,0.603584,retrieval:candidates,REVIEW_CANDIDATES
overture,auto_dealer,181,0.006374586180178911,psic,rev5,,,exact,,,category,auto dealer,,,64993|473|4730|47300|13997,"Securities dealership, own-account || Retail sale of automotive fuel || Retail sale of automotive fuel || Retail sale of automotive fuel || Manufacture of automotive trimmings and custom upholstery",0.133533|0.087311|0.087311|0.087311|0.054628,0.133533,retrieval:candidates,REVIEW_CANDIDATES
fsq,[Retail > Convenience Store],180,0.006339367472001127,psic,rev5,,,exact,,,category,Retail Convenience Store,SUBTREE,47114,47114|47|4721|47761|47217,Retail selling in convenience stores || Retail Trade || Retail sale of food || Retail sale of pet || Retail sale of salt,0.599113|0.182924|0.175120|0.163231|0.158827,0.599113,retrieval:strong_separated_hit,REVIEW_REQUIRED
overture,party_and_event_planning,176,0.006198492639289991,psic,rev5,,,exact,,,category,party and event planning,,,56210|5621|84116|562|10201,Event catering activities || Event catering activities || Economic and social planning and statistical services || Event catering and other food service activities || Preserving of fish and other marine products by canning or packing,0.339063|0.339063|0.282048|0.274359|0.079389,0.339063,retrieval:candidates,REVIEW_CANDIDATES
fsq,"['Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop']",175,0.006163273931112207,psic,rev5,,,exact,,,category,"Dining and Drinking Cafe, Coffee, and Tea House Coffee Shop",,,10760|1076|01271|01634|56302,Processing of coffee and tea || Processing of coffee and tea || Growing of coffee plants || Preparation of coffee and cocoa beans || Operation of cafés or coffee shops,0.576247|0.576247|0.305396|0.303922|0.276696,0.576247,retrieval:candidates,REVIEW_CANDIDATES
fsq,[Business and Professional Services > Automotive Service > Automotive Repair Shop],175,0.006163273931112207,psic,rev5,,,exact,,,category,Business and Professional Services Automotive Service Automotive Repair Shop,,,4730|47300|473|941|13997,"Retail sale of automotive fuel || Retail sale of automotive fuel || Retail sale of automotive fuel || Activities of business, employers and professional membership organizations || Manufacture of automotive trimmings and custom upholstery",0.375967|0.375967|0.375967|0.284716|0.258643,0.375967,retrieval:candidates,REVIEW_CANDIDATES
osm,amenity=cafe,174,0.006128055222934423,psic,rev5,,,exact,,,category,cafe amenity,,,56104|86123|842|56302|841,"Operation of cafeterias || Private maternity hospital activities || Provision of services to the community as a whole || Operation of cafés or coffee shops || Administration of the State and the economic, social and environmental policies of the community",0.115143|0.066994|0.064536|0.042175|0.040793,0.115143,retrieval:candidates,REVIEW_CANDIDATES
overture,fast_food_restaurant,172,0.0060576178065788544,psic,rev5,,,exact,,,category,fast food restaurant,SUBTREE,56102,56102|5610|561|56109|56103,"Fast-food restaurants operations, including quick service restaurant || Restaurants and mobile food service activities || Restaurants and mobile food service activities || Restaurants and mobile food service activities, n.e.c. || Activities of buffet restaurants",0.576220|0.281397|0.281397|0.268888|0.191029,0.576220,retrieval:strong_separated_hit,REVIEW_REQUIRED
fsq,[Retail > Pharmacy],170,0.005987180390223287,psic,rev5,,,exact,,,category,Retail Pharmacy,,,47|4721|47761|47219|4751,"Retail Trade || Retail sale of food || Retail sale of pet || Retail sale of food, n.e.c. || Retail sale of textiles",0.355887|0.337226|0.310954|0.307837|0.306410,0.355887,retrieval:candidates,REVIEW_CANDIDATES
overture,religious_organization,167,0.005881524265689934,psic,rev5,,,exact,,,category,religious organization,,,9491|94910|47732|82300|8230,Activities of religious organizations || Activities of religious organizations || Retail sale of religious articles || Organization of conventions and trade shows || Organization of conventions and trade shows,0.573667|0.573667|0.416667|0.283706|0.283706,0.573667,retrieval:candidates,REVIEW_CANDIDATES
overture,bakery,161,0.0056702120166232306,psic,rev5,,,exact,,,category,bakery,,,1071|10719|47214|46312|10712,"Manufacture of bakery products || Manufacture of bakery products, n.e.c. || Retail sale of bakery products || Wholesale of sugar, confectionery and bakery products || Baking of biscuits, cookies, crackers, pretzels and similar dry bakery products",0.613160|0.579880|0.553716|0.371326|0.268934,0.613160,retrieval:candidates,REVIEW_CANDIDATES
fsq,[Community and Government > Government Building],154,0.005423681059378742,psic,rev5,,,exact,,,category,Community and Government Government Building,,,84113|84112|64121|842|301,"Public administration, local government || Public administration, regional government || Universal banking, including specialized government banking || Provision of services to the community as a whole || Building of ships and boats",0.386387|0.380205|0.305319|0.176746|0.162726,0.386387,retrieval:candidates,REVIEW_CANDIDATES
fsq,[Dining and Drinking > Restaurant],151,0.00531802493484539,psic,rev5,,,exact,,,category,Dining and Drinking Restaurant,,,11054|56102|23102|5610|561,"Manufacture of bottled drinking water || Fast-food restaurants operations, including quick service restaurant || Manufacture of hollow glass, such as bottles, drinking glasses and other glass or crystal articles || Restaurants and mobile food service activities || Restaurants and mobile food service activities",0.319507|0.313257|0.181343|0.175516|0.175516,0.319507,retrieval:candidates,REVIEW_CANDIDATES
overture,convenience_store,148,0.005212368810312038,psic,rev5,,,exact,,,category,convenience store,SUBTREE,47114,47114|8230|82300|823|52103,"Retail selling in convenience stores || Organization of conventions and trade shows || Organization of conventions and trade shows || Organization of conventions and trade shows || Operation of cold storages, refrigerated warehouses or cool stores",0.551640|0.081708|0.081708|0.081708|0.061643,0.551640,retrieval:strong_separated_hit,REVIEW_REQUIRED
overture,grocery_store,148,0.005212368810312038,psic,rev5,,,exact,,,category,grocery store,,,47111|47191|52103|47114|47113,"Retail selling in groceries || Retail selling in department stores || Operation of cold storages, refrigerated warehouses or cool stores || Retail selling in convenience stores || Retail selling in sari-sari stores",0.166917|0.082935|0.080801|0.078844|0.074013,0.166917,retrieval:candidates,REVIEW_CANDIDATES
osm,amenity=place_of_worship,147,0.0051771501021342535,psic,rev5,,,exact,,,category,place of worship amenity,,,94|949|9499|94990|7810,Activities of Membership Organizations || Activities of other membership organizations || Activities of other membership organizations n.e.c. || Activities of other membership organizations n.e.c. || Activities of employment placement agencies,0.141677|0.137453|0.134414|0.134414|0.125313,0.141677,retrieval:candidates,REVIEW_CANDIDATES
overture,spa,147,0.0051771501021342535,psic,rev5,,,exact,,,category,spa,,,962|9623|96230|3030|303,"Hairdressing, beauty treatment, day spa and similar activities || Day spa, sauna and steam bath activities || Day spa, sauna and steam bath activities || Manufacture of air and spacecraft and related machinery || Manufacture of air and spacecraft and related machinery",0.277397|0.226942|0.226942|0.049074|0.049074,0.277397,retrieval:candidates,REVIEW_CANDIDATES
osm,amenity=bank,146,0.00514193139395647,psic,rev5,,,exact,,,category,bank amenity,,,64127|66192|6412|64129|64124,"Digital bank operation || Activities of non-bank electronic money issuers and operators of payment systems || Other banking || Other banking, n.e.c. || Rural banking",0.413370|0.196803|0.115512|0.095336|0.092051,0.413370,retrieval:candidates,REVIEW_CANDIDATES
fsq,[Health and Medicine > Medical Center],145,0.005106712685778686,psic,rev5,,,exact,,,category,Health and Medicine Medical Center,,,R|86910|8691|72101|86,"Human Health and Social Work Activities || Intermediation service activities for medical, dental, and other human health services || Intermediation service activities for medical, dental, and other human health services || Research and experimental development in medical and health sciences || Human Health Activities",0.341278|0.279655|0.279655|0.270702|0.263252,0.341278,retrieval:candidates,REVIEW_CANDIDATES
